trial,condition,condition_label,analysis_start_s,analysis_end_s,T_exp_s,period_std_s,n_intervals_used,T_fft_s,T_theory_s,error_rate_percent,effective_length_m
angle10_trial1,angle10,10 deg,18,45,2.1434117007859763,0.14003033486946406,40,2.0769230769226636,2.1986568517060525,2.5126772682698806,1.1404533712080602
angle10_trial2,angle10,10 deg,8,33,2.291871029930148,0.11198490242175732,41,2.2727272727268204,2.1986568517060525,4.2395964678056,1.3039072166125139
angle10_trial3,angle10,10 deg,11,25,2.239713576666788,0.12817222452372548,21,2.3333333333328694,2.1986568517060525,1.8673548320592908,1.2452349576576809
angle20_trial1,angle20,20 deg,10,55,2.2586424859590397,0.07122114273800247,77,2.2500000000003513,2.1986568517060525,2.7282854169099293,1.2663720749637732
angle20_trial2,angle20,20 deg,15,82,2.2722941975473434,0.05313947593815881,114,2.233333333332889,2.1986568517060525,3.3491968418878937,1.2817267785435946
angle20_trial3,angle20,20 deg,13,70,2.2538564796111187,0.11032304326938387,94,2.2800000000003564,2.1986568517060525,2.51060677623404,1.2610109401958016
angle30_trial1,angle30,30 deg,15,130,2.2823572390348836,0.0799588500685868,199,2.2999999999995424,2.1986568517060525,3.806887248634712,1.2931043808300908
angle30_trial2,angle30,30 deg,10,75,2.235158960615969,0.14879749597350966,106,2.2413793103443815,2.1986568517060525,1.6602003573951425,1.2401755604046867
angle30_trial3,angle30,30 deg,13,135,2.2709123799420157,0.09580362744800092,207,2.2592592592588097,2.1986568517060525,3.2863485804934185,1.2801683763709433
cardboard20_trial1,cardboard20,20 deg + cardboard,10,75,2.061008398508661,0.1342903039727541,120,2.09677419354797,2.1986568517060525,6.260570088078228,1.0544496864254511
cardboard20_trial2,cardboard20,20 deg + cardboard,8,73,2.0282277244196747,0.12161235645376091,123,2.031249999999596,2.1986568517060525,7.751510980630423,1.0211740471628097
cardboard20_trial3,cardboard20,20 deg + cardboard,10,60,2.084704893836744,0.12712410092570733,91,2.083333333333659,2.1986568517060525,5.182798660959175,1.0788362003721845
mass20_trial1,mass20,20 deg + added mass,10,75,2.2934157778691824,0.09900071057392648,108,2.3214285714281093,2.1986568517060525,4.3098551777009435,1.3056655064631535
mass20_trial2,mass20,20 deg + added mass,20,130,2.238484860042289,0.13864431473218575,190,2.3404255319127647,2.1986568517060525,1.811469957457524,1.243869049787793
mass20_trial3,mass20,20 deg + added mass,13,125,2.2293378752669035,0.12336228328879255,191,2.2399999999995543,2.1986568517060525,1.3954439291899507,1.2337243259517006
